year,name,total_est_pop_over16,total_est_median_earnings,male_est_pop_over16,male_est_median_fulltime_earnings,female_est_pop_over16,female_est_median_fulltime_earnings
2017,Indianapolis,454597,31282,229937,44953,224660,37271
2017,Baltimore,311252,35251,147820,51685,163432,44249
2017,Boston,433402,38884,215348,57769,218054,54394
2017,Detroit,269994,24677,125887,35238,144107,32413
2017,Kansas City,280215,33575,140620,47457,139595,39930
2017,Las Vegas,331866,32753,179377,45452,152489,38270
2017,Albuquerque,287455,31177,145681,45988,141774,40371
2017,Charlotte,502741,36267,255156,51823,247585,43732
2017,Columbus,511602,31401,262141,44911,249461,40317
2017,Oklahoma City,340428,31589,179777,46059,160651,36992
2017,Portland,402862,36382,208246,53002,194616,46640
2017,Memphis,320722,27076,155505,36810,165217,32903
2017,Nashville,403680,33369,205964,44144,197716,41008
2017,Austin,593241,39883,326675,52448,266566,48902
2017,El Paso,332772,26045,177818,39028,154954,32226
2017,Fort Worth,470597,35100,251920,47439,218677,41472
2017,Seattle,476956,51851,247314,81266,229642,62997
2017,Milwaukee,302776,27798,149758,39756,153018,36240
2018,Mesa,262738,31882,141264,44328,121474,38674
2018,Tucson,282730,26128,146915,37010,135815,33571
2018,Fresno,245834,29200,130162,42331,115672,40232
2018,Sacramento,260964,37343,135369,51670,125595,50005
2018,San Francisco,571363,65393,303787,100057,267576,80879
2018,Denver,452994,42409,240788,56503,212206,51551
2018,Washington,427265,57851,205920,81267,221345,70911
2018,Jacksonville,490618,32016,254843,45374,235775,38561
2018,Indianapolis,464471,32122,233430,46253,231041,40143
2018,Baltimore,315178,36970,149408,50983,165770,43472
2018,Boston,435623,41125,213249,61873,222374,57342
2018,Detroit,279667,25389,132563,35558,147104,32770
2018,Kansas City,276933,36195,140317,50422,136616,41530
2018,Las Vegas,325770,32474,172870,45565,152900,38130
2018,Albuquerque,295745,30864,153632,46588,142113,38560
2018,Charlotte,510716,36340,263290,51896,247426,41308
2018,Columbus,527972,32262,267645,49523,260327,40200
2018,Oklahoma City,350546,31862,180603,46308,169943,37829
