year,city_state,name,total_est_pop_over16,total_est_median_earnings,total_est_mean_earnings,male_est_pop_over16,male_est_median_earnings,male_est_median_fulltime_earnings,male_est_mean_fulltime_earnings,female_est_pop_over16,female_est_median_earnings,female_est_median_fulltime_earnings,female_est_mean_fulltime_earnings
2013,"Nashville-Davidson metropolitan government (balance), Tennessee",Nashville,366823,28834,51877,189256,30900,40669,58434,177567,26472,36883,44238
2013,"Austin city, Texas",Austin,540515,30915,60651,292022,33812,46809,68931,248493,27511,40594,49580
2013,"El Paso city, Texas",El Paso,311587,23294,44985,171243,27332,37284,49512,140344,19131,30187,38308
2013,"Fort Worth city, Texas",Fort Worth,403880,29951,52958,210239,33129,42197,59501,193641,24428,36840,44121
2013,"Seattle city, Washington",Seattle,427473,41202,78943,224252,48344,67128,89445,203221,35945,52284,65612
2013,"Milwaukee city, Wisconsin",Milwaukee,298776,23309,43470,144353,26630,37957,47319,154423,21280,32670,39278
2014,"Mesa city, Arizona",Mesa,228392,29300,49378,123317,32109,40788,53039,105075,24022,35927,43677
2014,"Tucson city, Arizona",Tucson,274938,21399,41454,145872,22768,36803,44487,129066,19564,31332,37547
2014,"Fresno city, California",Fresno,228406,22482,48241,119314,26164,39004,51399,109092,20291,35253,44320
2014,"Sacramento city, California",Sacramento,232747,30535,58978,119251,32312,45604,64868,113496,26888,42166,51910
2014,"San Francisco city, California",San Francisco,533824,49201,91782,282640,52991,73173,99656,251184,43134,62090,81783
2014,"Denver city, Colorado",Denver,391339,35699,64137,209006,38044,46358,68226,182333,31902,45297,58780
2014,"Washington city, District of Columbia",Washington,393589,46000,85816,190095,50409,68932,92181,203494,42061,61718,79273
2014,"Jacksonville city, Florida",Jacksonville,438723,28142,49095,221986,31667,41962,55688,216737,25030,35068,41488
2014,"Indianapolis city (balance), Indiana",Indianapolis,452404,27239,49743,227558,29585,41514,55383,224846,25979,36116,43628
2014,"Baltimore city, Maryland",Baltimore,306362,31427,55282,145522,33109,46988,61854,160840,30457,40151,48860
2014,"Boston city, Massachusetts",Boston,395760,35273,74406,195283,40250,60270,82834,200477,30895,51457,65049
2014,"Detroit city, Michigan",Detroit,262246,18810,37008,120649,20481,31756,39966,141597,17258,29231,34288
2014,"Kansas City city, Missouri",Kansas City,257109,30692,51957,129415,33404,45431,58654,127694,27483,37252,44720
2014,"Las Vegas city, Nevada",Las Vegas,307193,29738,50135,165771,31650,41505,55402,141422,26094,35907,42986
2014,"Albuquerque city, New Mexico",Albuquerque,284583,28956,52271,149995,33480,43054,56898,134588,24342,36637,46081
2014,"Charlotte city, North Carolina",Charlotte,463122,31611,64313,235366,36401,47329,73587,227756,27197,40076,52585
2014,"Columbus city, Ohio",Columbus,489136,28705,49259,245146,31629,42190,53684,243990,25725,38274,44250
2014,"Oklahoma City city, Oklahoma",Oklahoma City,333825,28334,51417,175752,32330,42462,57498,158073,24782,35257,43470
2014,"Portland city, Oregon",Portland,370915,30388,65634,190978,31789,50814,72585,179937,27400,45359,56679
2014,"Memphis city, Tennessee",Memphis,325381,23457,43700,160357,25643,33434,47802,165024,21418,33026,39023
2014,"Nashville-Davidson metropolitan government (balance), Tennessee",Nashville,380797,27824,51297,194192,30003,40619,56691,186605,26611,37372,45311
2014,"Austin city, Texas",Austin,553918,32174,61323,303546,36343,47274,67825,250372,29337,41725,52018
2014,"El Paso city, Texas",El Paso,317930,24089,45131,173903,29044,37265,50416,144027,19918,29646,37621
2014,"Fort Worth city, Texas",Fort Worth,414897,30251,53284,220602,35186,42473,59594,194295,25136,37271,44450
2014,"Seattle city, Washington",Seattle,433216,42209,79685,231297,50375,68270,89715,201919,35770,52386,65800
2014,"Milwaukee city, Wisconsin",Milwaukee,302834,24075,45256,149588,26922,38762,49088,153246,21738,33196,40844
2015,"Mesa city, Arizona",Mesa,244445,28566,50420,132866,31231,40805,55039,111579,24591,37216,43820
2015,"Tucson city, Arizona",Tucson,273257,21785,42500,142244,23341,36718,45706,131013,20324,31553,38588
2015,"Fresno city, California",Fresno,240677,22878,49943,127725,25164,38395,50438,112952,21159,38498,49255
2015,"Sacramento city, California",Sacramento,237586,30962,55914,121387,32370,46804,59883,116199,28751,40857,51286
2015,"San Francisco city, California",San Francisco,546232,51884,101209,293004,60343,80764,112502,253228,48396,66965,86561
2015,"Denver city, Colorado",Denver,404418,37346,65414,220748,40088,49598,69770,183670,35324,46483,59592
2015,"Washington city, District of Columbia",Washington,408114,49891,90636,199400,52377,72230,100285,208714,45201,62191,80455
2015,"Jacksonville city, Florida",Jacksonville,458893,30296,50595,232363,32123,42077,57030,226530,26631,36139,43222
2015,"Indianapolis city (balance), Indiana",Indianapolis,452965,27798,48780,221359,31161,41111,53379,231606,25426,35861,43685
2015,"Baltimore city, Maryland",Baltimore,302652,32248,57201,145438,35741,46556,61501,157214,30861,41796,52943
2015,"Boston city, Massachusetts",Boston,413070,36059,73968,202506,40964,57997,84070,210564,31682,51432,62640
2015,"Detroit city, Michigan",Detroit,259205,20158,38632,122919,21850,32445,41816,136286,18207,29716,35411
2015,"Kansas City city, Missouri",Kansas City,263056,31678,53984,134680,36478,44253,59582,128376,27944,38844,47106
2015,"Las Vegas city, Nevada",Las Vegas,307471,30722,52825,165026,32219,41863,57746,142445,28098,36608,46329
2015,"Albuquerque city, New Mexico",Albuquerque,287428,28260,51157,147736,31059,41903,55627,139692,25183,36643,45658
2015,"Charlotte city, North Carolina",Charlotte,468990,32366,63857,242603,36553,46536,72264,226387,30386,41008,53021
2015,"Columbus city, Ohio",Columbus,499164,29494,49413,255487,31148,42102,53716,243677,26935,39324,44347
2015,"Oklahoma City city, Oklahoma",Oklahoma City,334554,30383,54349,180033,35721,44728,61131,154521,25020,35551,44968
2015,"Portland city, Oregon",Portland,381781,31542,62125,197748,35570,49424,67460,184033,29216,45467,55216
2015,"Memphis city, Tennessee",Memphis,327292,24800,47439,158999,26739,37743,53998,168293,22438,31475,40829
2015,"Nashville-Davidson metropolitan government (balance), Tennessee",Nashville,386951,30895,53091,196365,31975,41205,56979,190586,29743,38849,48671
2015,"Austin city, Texas",Austin,573381,35193,64316,315002,37761,48263,71413,258379,31202,42089,54258
2015,"El Paso city, Texas",El Paso,324439,26103,43582,175985,30933,38498,47418,148454,20895,31458,38183
2015,"Fort Worth city, Texas",Fort Worth,435614,31583,54791,233719,36770,47284,61549,201895,27212,38175,45684
2015,"Seattle city, Washington",Seattle,454731,46454,83611,239216,51999,70616,90665,215515,41042,56934,74374
2015,"Milwaukee city, Wisconsin",Milwaukee,306278,25762,45448,146404,27321,40514,48833,159874,24324,36146,42032
2016,"Mesa city, Arizona",Mesa,249938,30005,52180,131785,32906,42252,59538,118153,24886,34484,42281
2016,"Tucson city, Arizona",Tucson,276747,22274,44243,141171,23730,36380,47542,135576,21419,33167,40287
2016,"Fresno city, California",Fresno,239415,25960,53881,124869,28238,40146,58836,114546,22747,36627,47629
2016,"Sacramento city, California",Sacramento,250323,32137,58404,130034,35930,46939,61622,120289,30527,46054,54139
2016,"San Francisco city, California",San Francisco,551265,56678,105271,293162,61743,85684,118237,258103,51535,71595,88651
2016,"Denver city, Colorado",Denver,418524,37972,67886,221149,41632,51784,74579,197375,33659,47986,59194
2016,"Washington city, District of Columbia",Washington,411258,50364,91151,199846,56181,75343,98538,211412,43880,64908,83344
2016,"Jacksonville city, Florida",Jacksonville,464916,31218,52268,239121,34384,41932,57675,225795,27895,37533,45668
2016,"Indianapolis city (balance), Indiana",Indianapolis,454999,30495,54270,229930,32651,42147,58665,225069,26959,36983,49277
2016,"Baltimore city, Maryland",Baltimore,317178,33838,60371,146359,36292,50398,68396,170819,32015,42572,53009
2016,"Boston city, Massachusetts",Boston,422611,37323,77240,209453,41660,61358,82652,213158,32361,54722,70903
2016,"Detroit city, Michigan",Detroit,279289,22022,41076,133303,23080,32521,43784,145986,21308,31483,38450
2016,"Kansas City city, Missouri",Kansas City,270322,31806,53515,136322,37270,46634,61086,134000,27385,37176,44747
2016,"Las Vegas city, Nevada",Las Vegas,315643,30771,54484,170744,32418,44894,59884,144899,27165,37014,47070
2016,"Albuquerque city, New Mexico",Albuquerque,293436,30314,55370,151542,32252,44167,62128,141894,27004,39431,47398
2016,"Charlotte city, North Carolina",Charlotte,481688,35227,65739,244991,40753,50627,75438,236697,30938,41114,53795
2016,"Columbus city, Ohio",Columbus,505572,30566,51870,261413,31906,45136,56641,244159,28344,39632,46404
2016,"Oklahoma City city, Oklahoma",Oklahoma City,343275,30867,55848,180318,36216,47814,63358,162957,25751,35995,46517
2016,"Portland city, Oregon",Portland,392280,35699,67608,203409,40174,52443,72869,188871,31816,47456,60953
2016,"Memphis city, Tennessee",Memphis,322639,26610,48941,156267,29092,39079,54914,166372,24948,33506,42519
2016,"Nashville-Davidson metropolitan government (balance), Tennessee",Nashville,393581,31748,55385,197682,35146,41707,61069,195899,30207,40284,48782
2016,"Austin city, Texas",Austin,592265,37300,67820,325297,41401,50547,75242,266968,32260,46221,57095
2016,"El Paso city, Texas",El Paso,326930,25177,44973,175250,29004,37637,49296,151680,20448,31937,38596
2016,"Fort Worth city, Texas",Fort Worth,444265,31414,55504,237791,36277,45460,61241,206474,26812,36864,47603
2016,"Seattle city, Washington",Seattle,471379,46561,92910,246175,53116,75445,105907,225204,39303,58391,75874
2016,"Milwaukee city, Wisconsin",Milwaukee,309475,26079,45059,150924,30273,40598,48179,158551,22468,35381,41573
2017,"Mesa city, Arizona",Mesa,255670,30910,53710,133621,35388,44741,58244,122049,26873,38851,47813
2017,"Tucson city, Arizona",Tucson,278471,24586,45077,149725,26517,37927,48473,128746,22261,32767,40690
2017,"Fresno city, California",Fresno,243376,26591,54691,130465,30409,42245,57797,112911,23456,36470,50522
2017,"Sacramento city, California",Sacramento,259691,35064,59916,131564,36406,49410,62918,128127,32052,45387,56491
2017,"San Francisco city, California",San Francisco,572382,60093,108753,309068,65125,83962,116830,263314,52304,76500,97931
2017,"Denver city, Colorado",Denver,432719,41316,71753,230447,46999,53865,79969,202272,36964,47575,61126
